Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category,Tags
06/20/2023,BT*A MEDIUM CORPORATSAN FRANCISCO       CA,5.00,"KHVW4PTB    4155085008
BT*A MEDIUM CORPORATION
SAN FRANCISCO
CA
4155085008",BT*A MEDIUM CORPORATSAN FRANCISCO       CA,799 MARKET ST,"SAN FRANCISCO
CA",94103,UNITED STATES,'320231710779915387',Other-Miscellaneous,
06/20/2023,TWILIO INC          SAN FRANCISCO       CA,10.01,"NT_O7QUR3LC +18778894546
TWILIO INC
SAN FRANCISCO
CA
+18778894546",TWILIO INC          SAN FRANCISCO       CA,"SUITE 300
375 BEALE ST","SAN FRANCISCO
CA",94105,UNITED STATES,'320231730826300966',Merchandise & Supplies-Internet Purchase,
06/19/2023,TST* VALLEY BISTRO 0ENOLA               PA,24.14,"21105173171 RESTAURANT
TST* VALLEY BISTRO 00088884
ENOLA
PA
RESTAURANT",TST* VALLEY BISTRO 0ENOLA               PA,4520 VLY RD,"ENOLA
PA",17025,UNITED STATES,'320231710782874116',Restaurant-Restaurant,
06/19/2023,TST* VALLEY BISTRO 0ENOLA               PA,46.47,"21105173171 RESTAURANT
TST* VALLEY BISTRO 00088884
ENOLA
PA
RESTAURANT",TST* VALLEY BISTRO 0ENOLA               PA,4520 VLY RD,"ENOLA
PA",17025,UNITED STATES,'320231710784326171',Restaurant-Restaurant,
06/19/2023,TWILIO INC          SAN FRANCISCO       CA,10.02,"NT_O7POYFWO +18778894546
TWILIO INC
SAN FRANCISCO
CA
+18778894546",TWILIO INC          SAN FRANCISCO       CA,"SUITE 300
375 BEALE ST","SAN FRANCISCO
CA",94105,UNITED STATES,'320231710774991773',Merchandise & Supplies-Internet Purchase,
06/19/2023,TWILIO INC          SAN FRANCISCO       CA,10.17,"NT_O76MU2AA +18778894546
TWILIO INC
SAN FRANCISCO
CA
+18778894546",TWILIO INC          SAN FRANCISCO       CA,"SUITE 300
375 BEALE ST","SAN FRANCISCO
CA",94105,UNITED STATES,'320231720798837116',Merchandise & Supplies-Internet Purchase,
06/18/2023,AMAZON MARKEPLACE NA PA,162.00,"7FW8J4153M3 BOOK STORES
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
BOOK STORES",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320231700756500644',Merchandise & Supplies-Internet Purchase,
06/18/2023,GOOGLE *GOOGLE STORA G.CO/HELPPAY#      CA,2.11,"A0Q1XODW    DIGITAL GOODS: APPS
GOOGLE *GOOGLE STORAGE
G.CO/HELPPAY#
CA
DIGITAL GOODS: APPS",GOOGLE *GOOGLE STORA G.CO/HELPPAY#      CA,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320231700754585521',Business Services-Internet Services,
06/18/2023,PAYPAL *PADDLE.NET  4029357733          GB,9.00,"10124275481 4029357733
PAYPAL *PADDLE.NET
4029357733
GB
Description : GENERAL Price : 0.00
4029357733",PAYPAL *PADDLE.NET  4029357733          GB,.,"San Jose
CA",95131,UNITED STATES,'320231700765617183',Business Services-Internet Services,
06/17/2023,AplPay SHEETZ       CLEARFIELD          PA,36.04,"000160837   000-0000000
AplPay SHEETZ
CLEARFIELD
PA
Description : FUEL Price : 0.3604
000-0000000",AplPay SHEETZ       CLEARFIELD          PA,14259 CLEARFIELD SHAWVILLE HWY,"CLEARFIELD
PA",16830,UNITED STATES,'320231690728833202',Transportation-Fuel,
06/17/2023,AplPay SHEETZ 0252  CLEARFIELD          PA,8.07,"000163883   000-0000000
AplPay SHEETZ 0252   002527 49800002527
CLEARFIELD
PA
Description : MERCHANDISE Price : 0.0807
000-0000000",AplPay SHEETZ 0252  CLEARFIELD          PA,14259 CLEARFIELD SHAWVILLE HWY,"CLEARFIELD
PA",16830,UNITED STATES,'320231690728382658',Merchandise & Supplies-Groceries,
06/17/2023,SHEETZ              PHILIPSBURG         PA,3.88,"000810015   000-0000000
SHEETZ
PHILIPSBURG
PA
Description : MERCHANDISE Price : 0.0388
000-0000000",SHEETZ              PHILIPSBURG         PA,210 EAST LOCUST ST,"PHILIPSBURG
PA",16866-2128,UNITED STATES,'320231690728680141',Merchandise & Supplies-Groceries,
06/17/2023,SUNOCO 0578177800 05SHERMANS DALE       PA,36.95,"00062822    717-275-7388
SUNOCO 0578177800 0578
SHERMANS DALE
PA
Description : Unleaded (88 octane Price : 0.00
717-275-7388",SUNOCO 0578177800 05SHERMANS DALE       PA,-,"-
TX",75231,UNITED STATES,'320231690747441325',Transportation-Fuel,
06/16/2023,CVS PHARMACY        MECHANICSBURG       PA,5.29,"10175278   8007467287
PHARMACIES
CVS PHARMACY
MECHANICSBURG
PA
PHARMACIES
8007467287",CVS PHARMACY        MECHANICSBURG       PA,6706 CARLISLE PIKE,"MECHANICSBURG
PA",17050-1711,UNITED STATES,'320231680717514745',Merchandise & Supplies-Pharmacies,
06/16/2023,PANERA BREAD #601155MECHANICSBURG       PA,4.76,"845969     0000000000000000017050
PANERA BREAD #601155
MECHANICSBURG
PA
0000000000000000017050",PANERA BREAD #601155MECHANICSBURG       PA,"SUITE 2200
6416 CARLISLE PIKE","MECHANICSBURG
PA",17050,UNITED STATES,'320231680722201242',Restaurant-Bar & Café,
06/15/2023,BOBBY RAHAL LEXUS 07MECHANICSBURG       PA,5.66,"0000096916  717-691-5600
BOBBY RAHAL LEXUS 0769
MECHANICSBURG
PA
Description : AUTO SLS/SVC/RPR Price : 0.00
717-691-5600",BOBBY RAHAL LEXUS 07MECHANICSBURG       PA,6715 CARLISLE PIKE,"MECHANICSBURG
PA",17050,UNITED STATES,'320231670698015520',Transportation-Vehicle Leasing & Purchase,
06/15/2023,STAUFFERS OF KISSEL MECHANICSBURG       PA,44.51,"000742656   7177667993
STAUFFERS OF KISSEL HILL 0000000001192
MECHANICSBURG
PA
7177667993",STAUFFERS OF KISSEL MECHANICSBURG       PA,51 GETTYSBURG PIKE,"MECHANICSBURG
PA",17055-5602,UNITED STATES,'320231670692125340',Merchandise & Supplies-Groceries,
06/14/2023,"GITHUB, INC.        SAN FRANCISCO       CA",16.00,"NT_O57HGZEO +18774484820
GITHUB, INC.
SAN FRANCISCO
CA
+18774484820","GITHUB, INC.        SAN FRANCISCO       CA",275 BRANNAN ST,"SAN FRANCISCO
CA",94107,UNITED STATES,'320231650631635418',Other-Miscellaneous,
06/14/2023,TWILIO INC          SAN FRANCISCO       CA,10.05,"NT_O5U8DNRZ +18778894546
TWILIO INC
SAN FRANCISCO
CA
+18778894546",TWILIO INC          SAN FRANCISCO       CA,"SUITE 300
375 BEALE ST","SAN FRANCISCO
CA",94105,UNITED STATES,'320231670681383478',Merchandise & Supplies-Internet Purchase,
06/13/2023,AMAZON.COM          AMZN.COM/BILL       WA,54.00,"47254HM6V7Y MERCHANDISE
AMAZON.COM
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON.COM          AMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320231650642289238',Merchandise & Supplies-Internet Purchase,
06/13/2023,LOWE'S              MECHANICSBURG       PA,36.00,"INV # 19628 717-610-9230
LOWE'S
MECHANICSBURG
PA
717-610-9230",LOWE'S              MECHANICSBURG       PA,5500 CARLISLE PIKE,"MECHANICSBURG
PA",17050,UNITED STATES,'320231640608157754',Merchandise & Supplies-Hardware Supplies,
06/12/2023,STAUFFERS OF KISSEL MECHANICSBURG       PA,39.19,"000739035   7177667993
STAUFFERS OF KISSEL HILL 0000000001192
MECHANICSBURG
PA
7177667993",STAUFFERS OF KISSEL MECHANICSBURG       PA,51 GETTYSBURG PIKE,"MECHANICSBURG
PA",17055-5602,UNITED STATES,'320231640619073090',Merchandise & Supplies-Groceries,
06/12/2023,TWILIO INC          SAN FRANCISCO       CA,10.04,"NT_O4TEBJM6 +18778894546
TWILIO INC
SAN FRANCISCO
CA
+18778894546",TWILIO INC          SAN FRANCISCO       CA,"SUITE 300
375 BEALE ST","SAN FRANCISCO
CA",94105,UNITED STATES,'320231650630934657',Merchandise & Supplies-Internet Purchase,
06/11/2023,SLACK T020G8G849M   SAN FRANCISCO       CA,18.55,"NT_O3VUIDZT +14155799153
SLACK T020G8G849M
SAN FRANCISCO
CA
+14155799153",SLACK T020G8G849M   SAN FRANCISCO       CA,"155 5TH ST
6TH FLOOR","SAN FRANCISCO
CA",94103,UNITED STATES,'320231620565404139',Merchandise & Supplies-Computer Supplies,
06/10/2023,CVS PHARMACY        MECHANICSBURG       PA,8.84,"10136505    8007467287
CVS PHARMACY
MECHANICSBURG
PA
Description : PHARMACIES Price : 0.0884
8007467287",CVS PHARMACY        MECHANICSBURG       PA,6706 CARLISLE PIKE,"MECHANICSBURG
PA",17050-1711,UNITED STATES,'320231620569405902',Merchandise & Supplies-Pharmacies,
06/08/2023,MIDDLESEX DINER 6500CARLISLE            PA,51.62,"10156320230 7172412021
MIDDLESEX DINER 650000012405562
CARLISLE
PA",MIDDLESEX DINER 6500CARLISLE            PA,1803 HARRISBURG PIKE,"CARLISLE
PA",17015-8856,UNITED STATES,'320231600508075534',Restaurant-Restaurant,
06/08/2023,MOBILE PAYMENT - THANK YOU,-4858.82,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320231590481951611',,
06/08/2023,TWILIO INC          SAN FRANCISCO       CA,10.09,"NT_O2VWIZGE +18778894546
TWILIO INC
SAN FRANCISCO
CA
+18778894546",TWILIO INC          SAN FRANCISCO       CA,"SUITE 300
375 BEALE ST","SAN FRANCISCO
CA",94105,UNITED STATES,'320231610537977263',Merchandise & Supplies-Internet Purchase,
06/08/2023,TWILIO INC          SAN FRANCISCO       CA,10.11,"NT_O2VQTSY7 +18778894546
TWILIO INC
SAN FRANCISCO
CA
+18778894546",TWILIO INC          SAN FRANCISCO       CA,"SUITE 300
375 BEALE ST","SAN FRANCISCO
CA",94105,UNITED STATES,'320231610537972717',Merchandise & Supplies-Internet Purchase,
06/06/2023,GRASSHOPPER.COM     LOGMEIN.COM         MA,27.69,"813549232IG ONLINE SERVI
GRASSHOPPER.COM
LOGMEIN.COM
MA
ONLINE SERVI",GRASSHOPPER.COM     LOGMEIN.COM         MA,320 SUMMER ST,"BOSTON
MA",02210,UNITED STATES,'320231570433684192',Merchandise & Supplies-Internet Purchase,
06/06/2023,TWILIO SENDGRID     SAN FRANCISCO       CA,19.95,"NT_O23Y7AD4 +18778894546
TWILIO SENDGRID
SAN FRANCISCO
CA
+18778894546",TWILIO SENDGRID     SAN FRANCISCO       CA,101 SPEAR ST,"SAN FRANCISCO
CA",94105,UNITED STATES,'320231570441796685',Merchandise & Supplies-Computer Supplies,
06/04/2023,GOOGLE *GOOGLE STORA G.CO/HELPPAY#      CA,2.11,"A0PVPD5B    DIGITAL GOODS: APPS
GOOGLE *GOOGLE STORAGE
G.CO/HELPPAY#
CA
DIGITAL GOODS: APPS",GOOGLE *GOOGLE STORA G.CO/HELPPAY#      CA,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320231570447368554',Business Services-Internet Services,
06/04/2023,"MIXPANEL, INC.      SAN FRANCISCO       CA",38.16,"NT_O1SVEASY 9492326176
MIXPANEL, INC.
SAN FRANCISCO
CA
9492326176","MIXPANEL, INC.      SAN FRANCISCO       CA","ONE FRONT ST
FLOOR 28","SAN FRANCISCO
CA",94111,UNITED STATES,'320231550389625743',Merchandise & Supplies-Computer Supplies,
06/04/2023,TWILIO INC          SAN FRANCISCO       CA,11.00,"NT_O1RHSWZB +18778894546
TWILIO INC
SAN FRANCISCO
CA
+18778894546",TWILIO INC          SAN FRANCISCO       CA,"SUITE 300
375 BEALE ST","SAN FRANCISCO
CA",94105,UNITED STATES,'320231570436747080',Merchandise & Supplies-Internet Purchase,
06/03/2023,HAMPTON INNS HAMPTONNASHVILLE           TN,36.16,"523842      615-662-3133
LODGING
HAMPTON INNS HAMPTON INNS
NASHVILLE
TN",HAMPTON INNS HAMPTONNASHVILLE           TN,"7815 COLEY DAVIS ROAD
-","NASHVILLE
TN",37221,UNITED STATES,'320231540374742779',Travel-Lodging,
06/03/2023,PAYPAL *GITHUB INC  4154486673          CA,4.00,"10123161024 4154486673
PAYPAL *GITHUB INC
4154486673
CA
Description : SOFTWARE Price : 0.00
4154486673",PAYPAL *GITHUB INC  4154486673          CA,88 COLIN P KELLY JR,"SAN FRANCISCO
CA",94107,UNITED STATES,'320231550405246787',Merchandise & Supplies-Computer Supplies,
06/02/2023,AMAZON MARKEPLACE NA PA,5.50,"4AG7UXKGHS2 BOOK STORES
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
BOOK STORES",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320231540381686563',Merchandise & Supplies-Internet Purchase,
06/01/2023,AplPay SHEETZ       CHAMBERSBURG        PA,49.51,"000472689   000-0000000
AplPay SHEETZ
CHAMBERSBURG
PA
Description : FUEL Price : 0.4951
000-0000000",AplPay SHEETZ       CHAMBERSBURG        PA,1819 WAYNE RD,"CHAMBERSBURG
PA",17202,UNITED STATES,'320231530336211973',Transportation-Fuel,
06/01/2023,GOOGLE *GSUITE_BRKCOCC@GOOGLE.COM       CA,14.78,"A0PTTHDC    BUSINESS SERVICE
GOOGLE *GSUITE_BRKCONC
CC@GOOGLE.COM
CA
BUSINESS SERVICE",GOOGLE *GSUITE_BRKCOCC@GOOGLE.COM       CA,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320231520317426579',Business Services-Advertising Services,
06/01/2023,GOOGLE*CLOUD VPBKVP CC GOOGLE.COM,332.77,"A9082114147 BUSINESS SERVICE
GOOGLE*CLOUD VPBKVP GOOGLE INC
CC GOOGLE.COM
BUSINESS SERVICE",GOOGLE*CLOUD VPBKVP CC GOOGLE.COM,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320231530351022300',Business Services-Advertising Services,
06/01/2023,GOOGLE*GSUITE 1MARK.CC GOOGLE.COM,57.24,"A2854781423 BUSINESS SERVICE
GOOGLE*GSUITE 1MARK.WORK GOOGLE INC
CC GOOGLE.COM
BUSINESS SERVICE",GOOGLE*GSUITE 1MARK.CC GOOGLE.COM,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320231530352203451',Business Services-Advertising Services,
06/01/2023,GOOGLE*GSUITE FROSTSCC GOOGLE.COM,25.44,"A4310377163 BUSINESS SERVICE
GOOGLE*GSUITE FROSTSQUARE.COM GOOGLE I
CC GOOGLE.COM
BUSINESS SERVICE",GOOGLE*GSUITE FROSTSCC GOOGLE.COM,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320231530352211189',Business Services-Advertising Services,
06/01/2023,TST* THE ORCHARDS RECHAMBERSBURG        PA,19.35,"21105173153 RESTAURANT
TST* THE ORCHARDS RESTAUR 00079542
CHAMBERSBURG
PA
RESTAURANT",TST* THE ORCHARDS RECHAMBERSBURG        PA,1580 ORCH DR,"CHAMBERSBURG
PA",17201-4811,UNITED STATES,'320231530348316200',Restaurant-Restaurant,
05/30/2023,TWILIO INC          SAN FRANCISCO       CA,10.05,"NT_NZW4QXSQ +18778894546
TWILIO INC
SAN FRANCISCO
CA
+18778894546",TWILIO INC          SAN FRANCISCO       CA,"SUITE 300
375 BEALE ST","SAN FRANCISCO
CA",94105,UNITED STATES,'320231510287087700',Merchandise & Supplies-Internet Purchase,1Mark
05/29/2023,LOWE'S              MECHANICSBURG       PA,114.23,"INV # 20955 717-610-9230
LOWE'S
MECHANICSBURG
PA
717-610-9230",LOWE'S              MECHANICSBURG       PA,5500 CARLISLE PIKE,"MECHANICSBURG
PA",17050,UNITED STATES,'320231500267191960',Merchandise & Supplies-Hardware Supplies,
05/29/2023,THE HOME DEPOT #4120MECHANICSBURG       PA,31.52,"05290412048 800-654-0688
THE HOME DEPOT #4120
MECHANICSBURG
PA
800-654-0688",THE HOME DEPOT #4120MECHANICSBURG       PA,6000 CARLISLE PIKE,"MECHANICSBURG
PA",17050,UNITED STATES,'320231500266239892',Merchandise & Supplies-Hardware Supplies,
05/28/2023,AMAZON MARKEPLACE NA PA,9.53,"6SU4G4HN3U3 BOOK STORES
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
BOOK STORES",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320231490259617079',Merchandise & Supplies-Internet Purchase,
05/28/2023,CVS PHARMACY        MECHANICSBURG       PA,28.91,"10147443   8007467287
PHARMACIES
CVS PHARMACY
MECHANICSBURG
PA
PHARMACIES
8007467287",CVS PHARMACY        MECHANICSBURG       PA,6706 CARLISLE PIKE,"MECHANICSBURG
PA",17050-1711,UNITED STATES,'320231490250620684',Merchandise & Supplies-Pharmacies,
05/28/2023,SLACK TFJ24LW3D     SAN FRANCISCO       CA,9.28,"NT_NYCWEE6L +14155799153
SLACK TFJ24LW3D
SAN FRANCISCO
CA
+14155799153",SLACK TFJ24LW3D     SAN FRANCISCO       CA,"155 5TH ST
6TH FLOOR","SAN FRANCISCO
CA",94103,UNITED STATES,'320231480226592929',Merchandise & Supplies-Computer Supplies,
05/27/2023,GUMRD.COM* JSREPORT SAN FRANCISCO       CA,29.95,"NT_NYQYLAOQ +16502043486
GUMRD.COM* JSREPORT S.
SAN FRANCISCO
CA
+16502043486",GUMRD.COM* JSREPORT SAN FRANCISCO       CA,"548 MARKET ST
PMB 41309","SAN FRANCISCO
CA",94104,UNITED STATES,'320231470198337816',Merchandise & Supplies-General Retail,
05/27/2023,ONE GOOD WOMAN 00000CAMP HILL           PA,95.70,"99999993148 7179758101
ONE GOOD WOMAN 000000001
CAMP HILL
PA
7179758101",ONE GOOD WOMAN 00000CAMP HILL           PA,"1801 MARKET ST
STE 206","CAMP HILL
PA",17011-4803,UNITED STATES,'320231480225694158',Merchandise & Supplies-Groceries,
05/27/2023,PAYPAL *ZOOMVIDEOCO 8887999666          CA,16.95,"10122643674 8887999666
PAYPAL *ZOOMVIDEOCO
8887999666
CA
Description : COMPUTER AND DATA P Price : 0.00
8887999666",PAYPAL *ZOOMVIDEOCO 8887999666          CA,"55 ALMADEN BLVD
6TH FLOOR","SAN JOSE
CA",95113,UNITED STATES,'320231480235406669',Business Services-Employment Agencies,
05/25/2023,JOHNNIES FAMILY RESTCHAMBERSBURG        PA,51.22,"10156320230 7172632334
JOHNNIES FAMILY RESTAURAN 650000009434
CHAMBERSBURG
PA",JOHNNIES FAMILY RESTCHAMBERSBURG        PA,679 SOUTH MAIN ST,"CHAMBERSBURG
PA",17201,UNITED STATES,'320231460191865479',Restaurant-Restaurant,
05/25/2023,PAYPAL *WSJ/BARRON  6095140870          NY,8.00,"10122486341 6095140870
PAYPAL *WSJ/BARRON
6095140870
NY
Description : DIGITAL APPLICATION Price : 0.00
6095140870",PAYPAL *WSJ/BARRON  6095140870          NY,1211 AVE OF THE AMERICAS FL 5,"NEW YORK
NY",10036,UNITED STATES,'320231460187147647',Merchandise & Supplies-Internet Purchase,
05/23/2023,TWILIO INC          SAN FRANCISCO       CA,12.79,"NT_NXNXWATO +18778894546
TWILIO INC
SAN FRANCISCO
CA
+18778894546",TWILIO INC          SAN FRANCISCO       CA,"SUITE 300
375 BEALE ST","SAN FRANCISCO
CA",94105,UNITED STATES,'320231450163604886',Merchandise & Supplies-Internet Purchase,
05/22/2023,CHICK-FIL-A #02167 0MECHANICSBURG       PA,1.58,"000108522   7177951940
CHICK-FIL-A #02167 000000000565415
MECHANICSBURG
PA
7177951940",CHICK-FIL-A #02167 0MECHANICSBURG       PA,6416 CARLISLE PIKE STE 3500,"MECHANICSBURG
PA",17050,UNITED STATES,'320231430115096195',Restaurant-Bar & Café,
05/22/2023,TWILIO INC          SAN FRANCISCO       CA,10.01,"NT_NXN9U87I +18778894546
TWILIO INC
SAN FRANCISCO
CA
+18778894546",TWILIO INC          SAN FRANCISCO       CA,"SUITE 300
375 BEALE ST","SAN FRANCISCO
CA",94105,UNITED STATES,'320231450163537794',Merchandise & Supplies-Internet Purchase,
05/22/2023,TWILIO INC          SAN FRANCISCO       CA,12.03,"NT_NWFTDKAY +18778894546
TWILIO INC
SAN FRANCISCO
CA
+18778894546",TWILIO INC          SAN FRANCISCO       CA,"SUITE 300
375 BEALE ST","SAN FRANCISCO
CA",94105,UNITED STATES,'320231450161948423',Merchandise & Supplies-Internet Purchase,
05/21/2023,AMAZON MARKEPLACE NA PA,11.99,"VIASGJDBARC BOOK STORES
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
BOOK STORES",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320231420082736105',Merchandise & Supplies-Internet Purchase,
05/21/2023,AMAZON MARKEPLACE NA PA,17.97,"6MMHPD54T4Z BOOK STORES
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
BOOK STORES",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320231420077148477',Merchandise & Supplies-Internet Purchase,
05/20/2023,BT*A MEDIUM CORPORATSAN FRANCISCO       CA,5.00,"DP3KZ040    4155085008
BT*A MEDIUM CORPORATION
SAN FRANCISCO
CA
4155085008",BT*A MEDIUM CORPORATSAN FRANCISCO       CA,799 MARKET ST,"SAN FRANCISCO
CA",94103,UNITED STATES,'320231410045170583',Other-Miscellaneous,
05/19/2023,AplPay SHEETZ 0698  KUTZTOWN            PA,4.55,"000470184   000-0000000
AplPay SHEETZ 0698   006981 49800006981
KUTZTOWN
PA
Description : MERCHANDISE Price : 0.0455
000-0000000",AplPay SHEETZ 0698  KUTZTOWN            PA,2298 GOLDEN KY RD,"KUTZTOWN
PA",19530,UNITED STATES,'320231410034834535',Merchandise & Supplies-Groceries,
05/19/2023,PANERA BREAD #601021ALLENTOWN           PA,25.28,"863167     0000000000000000018106
PANERA BREAD #601021
ALLENTOWN
PA
0000000000000000018106",PANERA BREAD #601021ALLENTOWN           PA,6379 HAMILTON BLVD,"ALLENTOWN
PA",18106,UNITED STATES,'320231410055576395',Restaurant-Bar & Café,
05/19/2023,STAUFFERS OF KISSEL MECHANICSBURG       PA,345.27,"000671882   7177667993
STAUFFERS OF KISSEL HILL 0000000001192
MECHANICSBURG
PA
7177667993",STAUFFERS OF KISSEL MECHANICSBURG       PA,51 GETTYSBURG PIKE,"MECHANICSBURG
PA",17055-5602,UNITED STATES,'320231410060034016',Merchandise & Supplies-Groceries,
05/19/2023,TURKEY HILL #0294 95MECHANICSBURG       PA,38.67,"00591000002 7172998908
TURKEY HILL #0294 950294101
MECHANICSBURG
PA
Description : AUTOMATED FUEL Price : 0.3867
7172998908",TURKEY HILL #0294 95MECHANICSBURG       PA,6708 CARLISLE PIKE,"MECHANICSBURG
PA",17050,UNITED STATES,'320231410058492928',Transportation-Fuel,
05/19/2023,TWILIO INC          SAN FRANCISCO       CA,10.01,"NT_NVNGOEVF +18778894546
TWILIO INC
SAN FRANCISCO
CA
+18778894546",TWILIO INC          SAN FRANCISCO       CA,"SUITE 300
375 BEALE ST","SAN FRANCISCO
CA",94105,UNITED STATES,'320231410034849730',Merchandise & Supplies-Internet Purchase,
05/18/2023,GOOGLE*GOOGLE STORAG G.CO HELPPAY#,2.11,"A5352375272 COMPUTER STORE
GOOGLE*GOOGLE STORAGE GOOGLE PAYMENT
G.CO HELPPAY#
COMPUTER STORE",GOOGLE*GOOGLE STORAG G.CO HELPPAY#,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320231410061185675',Business Services-Internet Services,
